2021/12/24 17:25:29.227  # of PCs: 15/# of Routers:10
2021/12/24 17:25:29.231  Time,Protocol,TranID, fromID, toID, minBW(Mbps), reqDuration(ms), reqHops, req_avg_receive_buffersize, req_max_receive_buffersize, req_avg_queue_size, req_max_queue_size, reqSize(byte), resDuraiton(ms), resHop, res_avg_receive_buffersize, res_max_receive_buffersize, res_avg_queue_size, res_max_queue_size, resSize(byte), result(Hit/TTL/Drop)
2021/12/24 17:25:29.699  ,HTTP_GET,p1-1640334329530,p1,r2,10,80,2,1.0,4,0.0,0,2000,86,2,17.6376,72, 0.0,0, 117760,Hit
2021/12/24 17:25:31.015  ,HTTP_POST,p0-1640334329530,p0,r2,100,10473,2,4110.0439,7802,1.205,4,11534336,1640334340045,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:25:31.689  ,HTTP_POST,p3-1640334329531,p3,r2,10,1640334353316,3,1165161.0,625,8520.0,4,13631488,1640334354066,3,3534.0,14136, 0.0,0, 1024,Hit
2021/12/24 17:25:31.728  ,HTTP_GET,p2-1640334330543,p2,r2,10,312,3,27.1429,96,1.1429,4,2000,324,3,4723.2531,14447, 0.0,0, 126976,Hit
2021/12/24 17:25:33.230  ,HTTP_POST,p10-1640334330535,p10,r2,10,22342,2,12474.9183,30609,2.7231,7,12582912,1640334352900,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:25:33.257  ,HTTP_POST,p9-1640334330535,p9,r2,10,19048,2,13909.8291,30826,2.8389,8,10485760,1640334349651,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:25:33.670  ,HTTP_POST,p1-1640334330545,p1,r2,10,20966,3,3758.2015,16144,2.1935,8,8388608,1640334353346,3,6471.25,25885, 0.5,2, 1024,Hit
2021/12/24 17:25:35.453  ,HTTP_POST,p10-1640334332573,p10,r2,10,20490,2,22666.9413,37187,3.4998,7,11534336,1640334353485,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:25:35.989  ,HTTP_GET,p0-1640334331683,p0,r2,10,518,3,1506.5714,5273,2.0,7,2000,248,3,15471.1522,47474, 0.9783,3, 97280,Hit
2021/12/24 17:25:38.857  ,HTTP_POST,p0-1640334332688,p0,r2,10,23077,3,14887.4919,48209,3.5209,8,13631488,1640334360182,3,14083.0,56332, 0.5,2, 1024,Hit
2021/12/24 17:25:38.930  ,HTTP_POST,p3-1640334332681,p3,r2,10,12796,3,17955.6903,48631,3.3384,8,7340032,1640334350986,3,14073.25,56293, 0.5,2, 1024,Hit
2021/12/24 17:25:39.712  ,HTTP_POST,p6-1640334334576,p6,r2,10,1640334350538,2,0.0,0,0.0,0,12582912,1640334350538,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:25:44.145  ,HTTP_GET,p4-1640334334588,p4,r2,10,235,3,0.0,0,0.0,0,2000,245,3,0.861,2, 0.0,0, 98304,Hit
2021/12/24 17:25:45.755  ,HTTP_GET,p13-1640334335581,p13,r2,100,21,2,0.0,0,0.0,0,2000,26,2,0.0248,1, 0.0,0, 95232,Hit
2021/12/24 17:25:48.180  ,HTTP_GET,p1-1640334336574,p1,r2,10,261,3,0.0,0,0.0,0,2000,267,3,0.0,0, 0.0,0, 108544,Hit
